name	male_count	female_count	overall_count	male_ratio	female_ratio	max_ratio	predominant_gender
alva	0.0	131.0	131.0	0.0	1.0	1.0	Female
alvana	0.0	50.0	50.0	0.0	1.0	1.0	Female
alvar	32.0	0.0	32.0	1.0	0.0	1.0	Male
alvaro	845.0	0.0	845.0	1.0	0.0	1.0	Male
alveen	22.0	0.0	22.0	1.0	0.0	1.0	Male
alvin	1923.0	0.0	1923.0	1.0	0.0	1.0	Male
alvina	0.0	738.0	738.0	0.0	1.0	1.0	Female
alvine	150.0	218.0	368.0	0.4076086956521739	0.592391304347826	0.592391304347826	Female
alvinn	30.0	0.0	30.0	1.0	0.0	1.0	Male
alvino	30.0	0.0	30.0	1.0	0.0	1.0	Male
alvira	0.0	31.0	31.0	0.0	1.0	1.0	Female
alvy	39.0	0.0	39.0	1.0	0.0	1.0	Male
alvyn	345.0	0.0	345.0	1.0	0.0	1.0	Male
alvyna	0.0	22.0	22.0	0.0	1.0	1.0	Female
alvyne	25.0	0.0	25.0	1.0	0.0	1.0	Male
alwen	0.0	54.0	54.0	0.0	1.0	1.0	Female
alwena	0.0	1260.0	1260.0	0.0	1.0	1.0	Female
alwenn	0.0	52.0	52.0	0.0	1.0	1.0	Female
alwenna	0.0	284.0	284.0	0.0	1.0	1.0	Female
alwin	279.0	0.0	279.0	1.0	0.0	1.0	Male
alwine	0.0	109.0	109.0	0.0	1.0	1.0	Female
alwyn	46.0	0.0	46.0	1.0	0.0	1.0	Male
alwéna	0.0	46.0	46.0	0.0	1.0	1.0	Female
aly	1129.0	49.0	1178.0	0.9584040747028862	0.04159592529711375	0.9584040747028862	Male
alya	24.0	10324.0	10348.0	0.0023192887514495554	0.9976807112485504	0.9976807112485504	Female
alyaa	0.0	73.0	73.0	0.0	1.0	1.0	Female
alyaah	0.0	32.0	32.0	0.0	1.0	1.0	Female
alyah	0.0	2062.0	2062.0	0.0	1.0	1.0	Female
alyan	97.0	0.0	97.0	1.0	0.0	1.0	Male
alyana	0.0	554.0	554.0	0.0	1.0	1.0	Female
alyanah	0.0	51.0	51.0	0.0	1.0	1.0	Female
alyanna	0.0	144.0	144.0	0.0	1.0	1.0	Female
alyannah	0.0	23.0	23.0	0.0	1.0	1.0	Female
alyassa	21.0	0.0	21.0	1.0	0.0	1.0	Male
alyce	0.0	215.0	215.0	0.0	1.0	1.0	Female
alycia	0.0	5882.0	5882.0	0.0	1.0	1.0	Female
alyette	0.0	331.0	331.0	0.0	1.0	1.0	Female
alyha	0.0	96.0	96.0	0.0	1.0	1.0	Female
alyia	0.0	123.0	123.0	0.0	1.0	1.0	Female
alyiah	0.0	42.0	42.0	0.0	1.0	1.0	Female
alyma	0.0	51.0	51.0	0.0	1.0	1.0	Female
alyna	0.0	415.0	415.0	0.0	1.0	1.0	Female
alyne	0.0	230.0	230.0	0.0	1.0	1.0	Female
alynna	0.0	22.0	22.0	0.0	1.0	1.0	Female
alyona	0.0	114.0	114.0	0.0	1.0	1.0	Female
alyosha	38.0	0.0	38.0	1.0	0.0	1.0	Male
alyou	23.0	0.0	23.0	1.0	0.0	1.0	Male
alyre	92.0	0.0	92.0	1.0	0.0	1.0	Male
alys	0.0	407.0	407.0	0.0	1.0	1.0	Female
alysa	0.0	37.0	37.0	0.0	1.0	1.0	Female
alyse	0.0	58.0	58.0	0.0	1.0	1.0	Female
alysea	0.0	67.0	67.0	0.0	1.0	1.0	Female
alysee	0.0	347.0	347.0	0.0	1.0	1.0	Female
alysha	0.0	167.0	167.0	0.0	1.0	1.0	Female
alysia	0.0	89.0	89.0	0.0	1.0	1.0	Female
alyson	0.0	3019.0	3019.0	0.0	1.0	1.0	Female
alysone	0.0	105.0	105.0	0.0	1.0	1.0	Female
